2022-01-04 21:30:26  FROM: 127.0.0.1  ACCESS_TO: /rack/1
2022-01-04 21:30:28  FROM: 127.0.0.1  ACCESS_TO: /search/
2022-01-04 21:30:29  FROM: 127.0.0.1  ACCESS_TO: /rack_list/
2022-01-04 21:30:31  FROM: 127.0.0.1  ACCESS_TO: /rack/1
2022-01-04 21:30:32  FROM: 127.0.0.1  ACCESS_TO: /rack/1/unit_detail/48
2022-01-04 21:38:03  FROM: 127.0.0.1  ACCESS_TO: /search/
2022-01-04 21:38:05  FROM: 127.0.0.1  ACCESS_TO: /rack_list/
2022-01-04 21:39:22  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1
2022-01-04 21:39:24  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48
2022-01-04 21:39:26  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48
2022-01-04 21:39:26  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48
2022-01-04 21:43:17  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1  ACTION: GET
2022-01-04 21:43:18  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack_list/  ACTION: GET
2022-01-04 21:43:20  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1  ACTION: GET
2022-01-04 21:59:09  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: GET
2022-01-04 21:59:13  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: GET
2022-01-04 21:59:13  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: change unit fields [['power', 'comment']]
2022-01-04 21:59:13  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: GET
2022-01-04 22:00:15  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: GET
2022-01-04 22:00:15  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: change unit fields ['console', 'comment']
2022-01-04 22:00:15  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: GET
2022-01-04 22:01:18  FROM: 127.0.0.1  USER: Галчёнков Андрей  ACCESS_TO: /rack/1/unit_detail/48  ACTION: GET
